Patch,Agent,Cost,,Total,Multi,50/50 L Agent,50/50 L,Pity Tries,Average spendings,cost estimation,"169,9259259"
"1,0",Ellen,80,10,90,9,Koleda,10,37,"84,96296296",,
,Zhu Yuan,70,,70,7,,50/50 W,7-8 Multi cost,Median spendings,Sunbringer,1
"1,1",Jane,80,80,160,16,Grace,17,23,80,Cecilia,1
"1,2",Burnice,80,73,153,16,Soldier 11,W/L Ratio,,,,
"1,3 / 1,4",Lighter -> Miyabi,20,75,95,10,Nekomata,"1,7",Approximated spendings are greyed,,,
"1,5",Astra,30,80,110,11,Lycaon,,,,,
,Evelyn,75,,75,8,,,,,,
"1,6",SAnby,75,90,165,17,Grace,,,,,
,Trigger,65,,65,7,,,,,,
"1,7",Vivian,80,,80,8,,,,,,
"2,0",Yixuan,60,,60,6,,,,,,
,Yixuan,30,,30,3,,,,,,
,Jufufu,40,80,120,12,Grace,,,,,
,Caesar,71,,71,8,,,,,,
"2,2",Seed,80,,80,8,,,,,,
,Orphie,60,,60,6,,,,,,
2.3,Lucia,20,,20,2,,,,,,
"2,3 / 2,4",Yidhari -> Dialyn,80,70,150,15,Lycaon,,,,,
"2,4 / 2,5",Banyue -> YSG,80,70,150,15,Grace,,,,,
"2,6",Yixuan,10,,10,1,,,,,,
"2,6",Yuzuha,80,80,160,16,Soldier 11,,,,,
"2,8",Promeia,80,,80,8,,,,,,
3,Velina,80,,80,8,,,,,,
3.1,Remielle,10,,10,1,,,,,,
,Remielle,50,,50,5,,,,,,
,Remielle,70,,70,7,,,,,,
,Sigrid,30,,30,3,,,,,,
"3,2",Promeia,,,,0,,,,,,
,,,,,0,,,,,,
,,,,,0,,,,,,
,,,,,0,,,,,,
,,,,,0,,,,,,
,,,,,0,,,,,,
,,,,,0,,,,,,
